chan SPEmean SPEmeanErr SPEsigma SPEsigmaErr
0 1.726 0.01 0.863 0.019
1 2.497 0.013 1.117 0.018
2 4.327 0.013 1.881 0.02
3 3.541 0.012 1.487 0.021
4 2.29 0.007 0.968 0.011
5 4.094 0.013 1.858 0.022
6 4.971 0.022 2.409 0.048
7 2.063 0.009 0.941 0.016
8 4.389 0.039 2.521 0.061
9 1.809 0.011 1.198 0.022
10 2.152 0.009 0.91 0.017
11 4.165 0.012 1.746 0.02
12 2.302 0.009 0.977 0.012
13 4.521 0.016 2.047 0.033
14 4.236 0.011 1.568 0.019
15 4.293 0.013 2.019 0.022
16 4.272 0.015 1.726 0.03
17 5.24 0.027 2.701 0.053
18 3.829 0.025 2.558 0.055
19 2.193 0.009 0.963 0.016
20 3.295 0.009 1.431 0.014
21 3.368 0.012 1.275 0.02
22 2.51 0.01 1.104 0.019
23 3.025 0.009 1.312 0.016
24 3.161 0.014 1.488 0.03
25 4.512 0.012 2.277 0.021
26 4.373 0.019 1.988 0.039
27 3.882 0.014 1.588 0.027
28 4.767 0.021 2.003 0.048
29 3.987 0.014 1.711 0.025
30 4.468 0.013 1.923 0.019
31 2.118 0.007 0.88 0.013
32 3.594 0.012 1.494 0.022
33 4.182 0.012 1.695 0.021
34 2.811 0.012 1.241 0.025
35 3.409 0.015 1.68 0.031
36 3.474 0.011 1.414 0.021
37 4.461 0.018 2.673 0.039
38 3.153 0.016 1.411 0.037
39 2.109 0.01 0.999 0.021
40 4.513 0.019 2.023 0.035
41 3.846 0.013 2.304 0.022
42 6.349 0.021 2.947 0.042
43 2.892 0.024 1.628 0.06
44 4.136 0.017 1.687 0.036
45 3.793 0.016 1.729 0.03
46 4.822 0.026 2.403 0.057
47 5.566 0.031 2.592 0.08
48 4.644 0.017 1.688 0.038
49 2.746 0.011 1.323 0.024
50 2.984 0.013 1.455 0.025
51 3.211 0.014 1.479 0.03
52 4.508 0.021 1.886 0.049
53 4.448 0.036 2.055 0.057
54 3.301 0.013 1.642 0.023
55 3.842 0.026 1.785 0.052
56 4.225 0.02 1.97 0.044
57 2.348 0.012 0.933 0.017
58 4.598 0.023 2.324 0.057
59 4.943 0.027 2.61 0.064
60 3.097 0.01 1.264 0.016
61 3.424 0.014 1.549 0.028
62 2.488 0.017 1.268 0.042
63 3.778 0.015 1.539 0.027
64 2.33 0.01 1.1 0.018
65 3.133 0.015 1.32 0.036
66 3.322 0.019 1.86 0.039
67 3.247 0.029 2.19 0.071
68 3.784 0.019 1.714 0.04
69 2.048 0.01 0.909 0.018
70 1.841 0.01 0.925 0.021
71 3.763 0.013 1.599 0.023
72 3.218 0.037 1.906 0.077
73 3.596 0.017 1.42 0.038
74 3.298 0.014 1.691 0.025
75 2.755 0.009 1.188 0.017
76 3.751 0.034 2.079 0.073
77 5.309 0.024 2.28 0.049
78 3.84 0.024 2.048 0.04
79 3.796 0.019 1.96 0.033
80 3.462 0.039 1.912 0.089
81 4.255 0.025 2.069 0.049
82 3.953 0.026 1.727 0.047
83 3.525 0.021 1.941 0.049
84 4.607 0.028 2.286 0.072
85 2.442 0.008 1.062 0.013
86 3.204 0.015 1.412 0.031
87 4.478 0.043 2.603 0.103
88 2.303 0.009 1.034 0.017
89 3.121 0.01 1.386 0.018
90 2.832 0.011 1.124 0.018
91 2.531 0.022 1.166 0.04
92 14.371 0.081 5.246 0.151
93 2.823 0.027 1.52 0.054
94 4.996 0.028 2.395 0.054
95 3.208 0.015 1.603 0.027
